address,year
"г. Пермь, п. Архиерейка, д. 15",1962
"г. Пермь, п. Архиерейка, д. 26",1963
"г. Пермь, п. Архиерейка, д. 28",1956
"г. Пермь, п. Архиерейка, д. 37",1985
"г. Пермь, п. Архиерейка, д. 45",1989
"г. Пермь, ул. Архитектора Свиязева, д. 2А",1991
"г. Пермь, ул. Архитектора Свиязева, д. 4",1998
"г. Пермь, ул. Архитектора Свиязева, д. 6",1998
"г. Пермь, ул. Архитектора Свиязева, д. 8",1991
"г. Пермь, ул. Архитектора Свиязева, д. 12",2001
"г. Пермь, ул. Архитектора Свиязева, д. 16",1971
"г. Пермь, ул. Архитектора Свиязева, д. 18",1970
"г. Пермь, ул. Архитектора Свиязева, д. 18А",1980
"г. Пермь, ул. Архитектора Свиязева, д. 22",1973
"г. Пермь, ул. Архитектора Свиязева, д. 22А",1980
"г. Пермь, ул. Архитектора Свиязева, д. 24",1970
"г. Пермь, ул. Архитектора Свиязева, д. 28",1972
"г. Пермь, ул. Архитектора Свиязева, д. 28А",1980
"г. Пермь, ул. Архитектора Свиязева, д. 28Б",1980
"г. Пермь, ул. Архитектора Свиязева, д. 30",1970
"г. Пермь, ул. Архитектора Свиязева, д. 32",1972
"г. Пермь, ул. Архитектора Свиязева, д. 34",1970
"г. Пермь, ул. Архитектора Свиязева, д. 38",1971
"г. Пермь, ул. Архитектора Свиязева, д. 40, к. 1",1971
"г. Пермь, ул. Архитектора Свиязева, д. 40/3",1971
"г. Пермь, ул. Архитектора Свиязева, д. 42",1971
"г. Пермь, ул. Архитектора Свиязева, д. 44",1975
"г. Пермь, ул. Архитектора Свиязева, д. 46/1",1972
"г. Пермь, ул. Архитектора Свиязева, д. 48",1974
"г. Пермь, ул. Архитектора Свиязева, д. 50/1",1972
"г. Пермь, ул. Архитектора Свиязева, д. 52",1975
"г. Пермь, ул. Астраханская, д. 3",1953
"г. Пермь, ул. Астраханская, д. 4",1957
"г. Пермь, ул. Астраханская, д. 5",1953
"г. Пермь, ул. Астраханская, д. 6",1957
"г. Пермь, ул. Астраханская, д. 8",1957
"г. Пермь, пер. Ашапский, д. 4",1957
"г. Пермь, ул. Бабушкина, д. 1, к. а",1951
"г. Пермь, ул. Бабушкина, д. 3",1952
"г. Пермь, ул. Байкальская, д. 3, к. 1",1993
"г. Пермь, ул. Байкальская, д. 3, к. 2",1987
"г. Пермь, ул. Байкальская, д. 3/2",1987
"г. Пермь, ул. Байкальская, д. 5, к. 1",1998
"г. Пермь, ул. Байкальская, д. 7б",2016
"г. Пермь, ул. Байкальская, д. 9",1990
"г. Пермь, ул. Байкальская, д. 22",1951
"г. Пермь, ул. Байкальская, д. 24",1951
"г. Пермь, ул. Байкальская, д. 26",1951
"г. Пермь, ул. Байкальская, д. 28",1957
"г. Пермь, ул. Байкальская, д. 30",1958
"г. Пермь, ул. Балхашская, д. 201",1968
"г. Пермь, ул. Балхашская, д. 205",1968
"г. Пермь, ул. Балхашская, д. 207",1968
"г. Пермь, ул. Балхашская, д. 209",1981
"г. Пермь, ул. Балхашская, д. 224",1984
"г. Пермь, ул. Барамзиной Татьяны, д. 4а",1942
"г. Пермь, ул. Барамзиной Татьяны, д. 6а",1940
"г. Пермь, ул. Барамзиной Татьяны, д. 8",1958
"г. Пермь, ул. Барамзиной Татьяны, д. 21",1925
"г. Пермь, ул. Барамзиной Татьяны, д. 23",1925
"г. Пермь, ул. Барамзиной Татьяны, д. 23, к. а",1958
"г. Пермь, ул. Барамзиной Татьяны, д. 23А",1958
"г. Пермь, ул. Барамзиной Татьяны, д. 25",1925
"г. Пермь, ул. Барамзиной Татьяны, д. 27",1927
"г. Пермь, ул. Барамзиной Татьяны, д. 27а",1958
"г. Пермь, ул. Барамзиной Татьяны, д. 29а",1959
"г. Пермь, ул. Барамзиной Татьяны, д. 41",1979
"г. Пермь, ул. Барамзиной Татьяны, д. 42",2004
"г. Пермь, ул. Барамзиной Татьяны, д. 42, к. 2",2005
"г. Пермь, ул. Барамзиной Татьяны, д. 43",1963
"г. Пермь, ул. Барамзиной Татьяны, д. 44",1959
"г. Пермь, ул. Барамзиной Татьяны, д. 45",1962
"г. Пермь, ул. Барамзиной Татьяны, д. 48",1967
"г. Пермь, ул. Барамзиной Татьяны, д. 54",2013
"г. Пермь, ул. Барамзиной Татьяны, д. 60",1954
"г. Пермь, ул. Барамзиной Татьяны, д. 68",1958
"г. Пермь, ул. Барамзиной Татьяны, д. 70",1958
"г. Пермь, ул. Барамзиной Татьяны, д. 72",1958
"г. Пермь, ул. Баранчинская, д. 2",1974
"г. Пермь, ул. Баранчинская 2-я, д. 1",1960
"г. Пермь, ул. Баранчинская 2-я, д. 2",1960
"г. Пермь, ул. Барнаульская, д. 7",1951
"г. Пермь, ул. Барнаульская, д. 9а",1962
"г. Пермь, ул. Барнаульская, д. 10",1962
"г. Пермь, ул. Барнаульская, д. 20",1951
"г. Пермь, ул. Батумская, д. 8",2015
"г. Пермь, ул. Баумана, д. 1",1963
"г. Пермь, ул. Баумана, д. 8",1959
"г. Пермь, ул. Баумана, д. 9",1965
"г. Пермь, ул. Баумана, д. 9а",1963
"г. Пермь, ул. Баумана, д. 10",1959
"г. Пермь, ул. Баумана, д. 11",1965
"г. Пермь, ул. Баумана, д. 12",1959
"г. Пермь, ул. Баумана, д. 19",1961
"г. Пермь, ул. Баумана, д. 21",1963
"г. Пермь, ул. Баумана, д. 21, стр. a",1963
"г. Пермь, ул. Баумана, д. 21, стр. Б",1964
"г. Пермь, ул. Баумана, д. 23",1963
"г. Пермь, ул. Баумана, д. 25",1960
"г. Пермь, ул. Баумана, д. 25, стр. а",1963
"г. Пермь, ул. Баумана, д. 25А",1963
"г. Пермь, ул. Баумана, д. 29",1980
"г. Пермь, ул. Баумана, д. 29, стр. а",1963
"г. Пермь, ул. Баумана, д. 31",1963
"г. Пермь, ул. Баумана, д. 33",1963
"г. Пермь, ул. Бахаревская, д. 31а",1974
"г. Пермь, ул. Бахаревская 1-я, д. 22",1964
"г. Пермь, ул. Бахаревская 1-я, д. 24",1964
"г. Пермь, ул. Бахаревская 1-я, д. 26",1956
"г. Пермь, ул. Бахаревская 1-я, д. 28",1964
"г. Пермь, ул. Бахаревская 1-я, д. 31, к. А",1974
"г. Пермь, ул. Бахаревская 1-я, д. 31А",1974
"г. Пермь, ул. Бахаревская 1-я, д. 42",1964
"г. Пермь, ул. Бахаревская 1-я, д. 49",1958
"г. Пермь, ул. Бахаревская 1-я, д. 51",1955
"г. Пермь, ул. Бахаревская 1-я, д. 73, к. А",1959
"г. Пермь, ул. Бахаревская 1-я, д. 73А",1959
"г. Пермь, ул. Бахаревская 2-я, д. 6А",1965
"г. Пермь, ул. Бахчевая 1-я, д. 21",1917
"г. Пермь, ул. Бахчевая 1-я, д. 25",1954
"г. Пермь, ул. Бахчевая 1-я, д. 31",1950
"г. Пермь, ул. Белинского, д. 6",1954
"г. Пермь, ул. Белинского, д. 8",1965
"г. Пермь, ул. Белинского, д. 10 Лит А",1954
"г. Пермь, ул. Белинского, д. 14",1952
"г. Пермь, ул. Белинского, д. 31",2013
"г. Пермь, ул. Белинского, д. 40",1968
"г. Пермь, ул. Белинского, д. 42",1968
"г. Пермь, ул. Белинского, д. 47",1960
"г. Пермь, ул. Белинского, д. 49",1962
"г. Пермь, ул. Белинского, д. 51",1962
"г. Пермь, ул. Белинского, д. 59",1960
"г. Пермь, ул. Белоевская, д. 3",1978
"г. Пермь, ул. Белозерская, д. 3",1957
"г. Пермь, ул. Белозерская, д. .5",1957
"г. Пермь, ул. Белозерская, д. .7",1957
"г. Пермь, ул. Белозерская, д. 9",1964
"г. Пермь, ул. Белозерская, д. 10",1955
"г. Пермь, ул. Белозерская, д. 12",1955
"г. Пермь, ул. Белозерская, д. 13",1957
"г. Пермь, ул. Белозерская, д. 14",1955
"г. Пермь, ул. Белозерская, д. 14.",1955
"г. Пермь, ул. Белозерская, д. 15",1956
"г. Пермь, ул. Белозерская, д. 16",1955
"г. Пермь, ул. Белозерская, д. 17",1957
"г. Пермь, ул. Белозерская, д. 30",2016
"г. Пермь, ул. Бенгальская, д. 2",1971
"г. Пермь, ул. Бенгальская, д. 6",1974
"г. Пермь, ул. Бенгальская, д. 8",1977
"г. Пермь, ул. Бенгальская, д. 10",1993
"г. Пермь, ул. Бенгальская, д. 12",1986
