address,year,Lon,Lat
"г. Пермь, ул. Анвара Гатауллина, д. 13",1958,56.237995,57.961306
"г. Пермь, ул. Анвара Гатауллина, д. 15",1958,56.237555,57.961531
"г. Пермь, ул. Анвара Гатауллина, д. 17",1958,56.236639,57.961421
"г. Пермь, ул. Анвара Гатауллина, д. 17 А",1961,56.236738,57.961736
"г. Пермь, ул. Анвара Гатауллина, д. 18",1957,56.237896,57.960647
"г. Пермь, ул. Анвара Гатауллина, д. 22",1957,56.23663,57.960733
"г. Пермь, ул. Анвара Гатауллина, д. 23",1959,56.234393,57.962032
"г. Пермь, ул. Анвара Гатауллина, д. 25",1959,56.233585,57.96208
"г. Пермь, ул. Анвара Гатауллина, д. 27",1974,56.233791,57.961602
"г. Пермь, ул. Анвара Гатауллина, д. 28",1957,56.233926,57.960929
"г. Пермь, ул. Анвара Гатауллина, д. 28А",1959,56.233917,57.960657
"г. Пермь, ул. Анвара Гатауллина, д. 29/1",1983,56.23186,57.961769
"г. Пермь, ул. Анвара Гатауллина, д. 29/2",1984,56.232363,57.961999
"г. Пермь, ул. Анвара Гатауллина, д. 30",1957,56.233369,57.960901
"г. Пермь, ул. Анвара Гатауллина, д. 32",1957,56.232794,57.960843
"г. Пермь, ул. Анвара Гатауллина, д. 34",1960,56.231878,57.961063
"г. Пермь, ул. Анвара Гатауллина, д. 36",1960,56.231249,57.961029
"г. Пермь, ул. Анвара Гатауллина, д. 38",1976,56.22983,57.960867
"г. Пермь, ул. Анри Барбюса, д. 39",1917,56.307013,58.030656
"г. Пермь, ул. Анри Барбюса, д. 41",1917,56.306806,58.030584
"г. Пермь, ул. Анри Барбюса, д. 45",2013,56.30642,58.030313
"г. Пермь, ул. Анри Барбюса, д. 51",2013,56.305243,58.02985
"г. Пермь, ул. Анри Барбюса, д. 53",2012,56.304048,58.029579
"г. Пермь, ул. Ардатовская, д. 34",1957,55.919408,58.007642
"г. Пермь, ул. Ардатовская, д. 36",1959,55.919821,58.0085
"г. Пермь, ул. Ардатовская, д. 38",1975,55.920764,58.008996
"г. Пермь, ул. Аркадия Гайдара, д. 4",1964,56.29352,58.004413
"г. Пермь, ул. Аркадия Гайдара, д. 5",2010,56.295523,58.002983
"г. Пермь, ул. Аркадия Гайдара, д. 6/1",1964,56.294176,58.003689
"г. Пермь, ул. Аркадия Гайдара, д. 6/2",1964,56.293394,58.003617
"г. Пермь, ул. Аркадия Гайдара, д. 7",1967,56.298398,58.000245
"г. Пермь, ул. Аркадия Гайдара, д. 8",1967,56.294751,58.002425
"г. Пермь, ул. Аркадия Гайдара, д. 9",1967,56.29873,57.999597
"г. Пермь, ул. Аркадия Гайдара, д. 11А",1978,56.296305,57.998733
"г. Пермь, ул. Аркадия Гайдара, д. 12",1964,56.29476,58.001328
"г. Пермь, ул. Аркадия Гайдара, д. 12, к. А",1996,56.293915,58.000994
"г. Пермь, ул. Аркадия Гайдара, д. 13, к. а",1983,56.295254,57.99808
"г. Пермь, ул. Аркадия Гайдара, д. 13А",1983,56.295254,57.99808
"г. Пермь, ул. Аркадия Гайдара, д. 14",1981,56.294706,58.00057
"г. Пермь, ул. Артиллерийская, д. 1",1961,56.273515,57.999454
"г. Пермь, п. Архиерейка, д. 4",1932,56.337996,57.994307
"г. Пермь, п. Архиерейка, д. 7",1934,56.338122,57.993816
"г. Пермь, п. Архиерейка, д. 8",1959,56.338122,57.993415
"г. Пермь, п. Архиерейка, д. 11",1928,56.337286,57.992742
"г. Пермь, п. Архиерейка, д. 15",1962,56.336325,57.994192
"г. Пермь, п. Архиерейка, д. 28",1956,56.332579,57.993682
"г. Пермь, п. Архиерейка, д. 37",1985,56.336675,57.996973
"г. Пермь, ул. Архитектора Свиязева, д. 2А",1991,56.201811,57.963421
"г. Пермь, ул. Архитектора Свиязева, д. 4",1998,56.198299,57.964085
"г. Пермь, ул. Архитектора Свиязева, д. 6",1998,56.197409,57.964281
"г. Пермь, ул. Архитектора Свиязева, д. 8",1991,56.196511,57.964486
"г. Пермь, ул. Архитектора Свиязева, д. 12",2001,56.192325,57.965546
"г. Пермь, ул. Архитектора Свиязева, д. 16",1971,56.191139,57.965617
"г. Пермь, ул. Архитектора Свиязева, д. 18",1970,56.189855,57.964806
"г. Пермь, ул. Архитектора Свиязева, д. 18А",1980,56.190052,57.965393
"г. Пермь, ул. Архитектора Свиязева, д. 22",1973,56.187339,57.964295
"г. Пермь, ул. Архитектора Свиязева, д. 22А",1980,56.186073,57.964629
"г. Пермь, ул. Архитектора Свиязева, д. 24",1970,56.186198,57.963713
"г. Пермь, ул. Архитектора Свиязева, д. 28",1972,56.183018,57.963221
"г. Пермь, ул. Архитектора Свиязева, д. 28А",1980,56.182102,57.963426
"г. Пермь, ул. Архитектора Свиязева, д. 28Б",1980,56.181833,57.963059
"г. Пермь, ул. Архитектора Свиязева, д. 30",1970,56.181725,57.962347
"г. Пермь, ул. Архитектора Свиязева, д. 32",1972,56.178617,57.961454
"г. Пермь, ул. Архитектора Свиязева, д. 34",1970,56.17717,57.961836
"г. Пермь, ул. Архитектора Свиязева, д. 38",1971,56.176236,57.960772
"г. Пермь, ул. Архитектора Свиязева, д. 40, к. 1",1971,56.174943,57.961058
"г. Пермь, ул. Архитектора Свиязева, д. 40/3",1971,56.173712,57.961841
"г. Пермь, ул. Архитектора Свиязева, д. 42",1971,56.173883,57.960542
"г. Пермь, ул. Архитектора Свиязева, д. 44",1975,56.172275,57.960285
"г. Пермь, ул. Архитектора Свиязева, д. 46/1",1972,56.171915,57.960657
"г. Пермь, ул. Архитектора Свиязева, д. 48",1974,56.17028,57.96039
"г. Пермь, ул. Архитектора Свиязева, д. 50/1",1972,56.169975,57.960753
"г. Пермь, ул. Архитектора Свиязева, д. 52",1975,56.168403,57.960495
"г. Пермь, ул. Астраханская, д. 3",1953,55.957469,58.001814
"г. Пермь, ул. Астраханская, д. 4",1957,55.958134,58.002024
"г. Пермь, ул. Астраханская, д. 5",1953,55.956544,58.002234
"г. Пермь, ул. Астраханская, д. 6",1957,55.957514,58.002258
"г. Пермь, ул. Астраханская, д. 8",1957,55.956832,58.002554
"г. Пермь, пер. Ашапский, д. 4",1957,56.275284,57.96999
"г. Пермь, ул. Бабушкина, д. 1, к. а",1951,56.212016,57.990123
"г. Пермь, ул. Бабушкина, д. 3",1952,56.212609,57.989689
"г. Пермь, ул. Байкальская, д. 3, к. 1",1993,56.026244,58.030394
"г. Пермь, ул. Байкальская, д. 3, к. 2",1987,56.02496,58.02986
"г. Пермь, ул. Байкальская, д. 3/2",1987,56.02496,58.02986
